artist_count,released_year,streams,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_encoded,mode_encoded
1,2023,118810253,244,12,6,84,10,85,70,83,84,31,0,47,30,10,0
2,2023,77233241,385,4,17,7,41,117,77,69,58,39,0,26,5,9,1
1,2023,206399629,1020,35,15,26,30,80,52,57,48,86,0,15,39,0,0
1,2023,117747907,1730,3,46,5,51,98,44,36,41,50,0,38,5,8,0
2,2023,266624541,2127,33,45,80,53,178,79,58,78,34,0,11,25,4,1
1,2022,293186992,3242,9,67,55,48,148,51,27,33,48,0,22,3,1,0
1,2023,139681964,526,10,15,93,30,120,77,94,66,65,0,38,3,5,0
1,2023,123132751,366,15,16,102,7,122,68,38,88,1,0,8,5,7,1
1,1997,103762518,472,2,0,0,6,144,74,75,73,42,0,9,4,8,0
2,2023,162887075,432,12,8,14,12,96,93,47,47,33,0,10,36,5,0
1,2023,91221625,271,12,16,103,9,137,77,35,88,16,0,17,9,11,0
1,2022,190490915,816,4,21,4,13,121,94,71,61,12,0,53,42,9,1
2,2023,96180277,1169,0,36,65,28,119,60,10,57,1,0,50,3,1,1
1,2019,185240616,1282,6,26,6,19,96,72,40,47,71,0,13,4,5,0
1,2022,885093467,6587,34,114,104,147,111,87,53,52,66,1,11,5,4,0
2,2023,104992946,1444,4,0,0,0,148,90,74,68,14,0,10,19,1,0
2,2023,147290338,356,10,4,64,4,182,57,80,59,8,0,6,5,1,0
1,2021,1302184087,10147,30,234,71,543,141,79,82,86,28,0,4,9,5,0
2,2022,158950978,265,6,8,84,5,145,76,80,81,19,0,6,9,7,1
2,2023,76910644,351,9,16,90,10,110,76,26,70,1,0,41,6,3,1
1,2022,137123880,158,4,5,6,1,134,70,35,41,41,0,10,3,10,0
1,2022,782369383,7613,33,180,90,422,130,92,78,62,18,0,6,10,10,0
1,2022,502574952,3956,6,142,23,127,145,84,88,53,35,0,8,7,2,0
3,2023,207033255,1638,10,0,0,21,130,69,36,90,1,10,15,4,3,1
1,2022,404887295,924,18,17,80,22,173,59,69,53,12,0,23,3,0,0
1,2022,381161027,1985,35,34,26,37,92,75,55,76,25,0,10,15,3,1
1,2014,466231982,6339,13,3,1,36,105,56,57,87,0,1,10,4,8,1
1,2021,357580552,1561,24,18,78,24,175,59,15,64,43,90,12,10,10,1
2,2023,61105704,875,4,17,13,27,120,80,33,70,22,0,9,4,10,1
2,2022,198275403,406,5,3,31,2,139,70,77,48,37,0,12,5,6,1
1,2023,168448603,340,13,4,71,16,132,59,56,82,12,0,12,6,0,1
2,2018,705469769,4188,15,30,70,142,114,32,17,74,14,0,17,3,2,0
2,2023,34502215,105,0,5,9,5,145,54,19,48,36,0,37,5,3,1
1,2022,482175240,1524,17,53,120,62,110,82,67,69,0,0,18,4,0,0
2,2022,304118600,2651,30,21,55,32,94,89,61,66,17,0,36,16,11,0
1,2018,1449799467,11087,6,151,107,801,134,45,17,60,21,0,33,4,4,0
1,2023,173627354,373,19,4,72,5,120,62,32,76,0,0,39,4,10,0
2,2023,90025258,200,4,8,77,2,123,70,86,68,24,0,11,4,10,1
2,2021,652704649,3741,17,156,35,110,131,77,84,71,35,0,15,4,2,0
1,2002,1829992958,32502,21,247,54,5567,171,70,6,73,1,0,36,26,5,0
2,2002,655466831,7615,14,18,51,1005,130,80,64,76,2,0,20,6,7,1
3,2023,146409671,1208,34,10,41,20,94,82,53,67,34,0,9,8,3,0
2,2023,95816024,209,4,4,45,11,89,73,44,57,39,0,32,6,10,1
1,2023,117206995,1235,9,20,8,15,87,65,71,56,4,0,15,20,8,1
2,2023,100409613,654,3,11,3,18,124,72,79,78,55,0,15,30,3,1
2,2023,80758350,1479,0,23,0,18,78,71,80,65,51,0,22,32,11,0
2,2022,325592432,4942,26,190,104,147,120,70,70,79,7,0,18,10,11,0
2,2023,58473276,709,0,8,1,13,96,48,50,80,40,0,37,20,9,1
1,2023,52722996,660,0,22,7,11,106,73,22,86,31,0,12,4,10,0
1,2021,191945597,489,17,4,11,5,170,78,75,46,62,0,12,35,5,1
2,2023,77377503,407,0,16,15,5,134,67,11,76,8,47,30,7,3,1
1,2022,743693613,7461,8,166,42,199,115,71,90,73,30,0,11,5,2,0
1,2022,267789608,993,4,30,84,88,130,74,79,87,45,0,30,3,9,0
2,2020,1221813483,9161,5,240,98,468,118,65,63,79,3,0,10,3,0,0
1,2022,449701773,3282,12,67,84,46,110,59,22,38,42,0,12,3,10,0
1,2023,67070410,596,0,29,9,12,100,72,42,66,18,4,19,4,1,0
2,2023,116334601,320,6,5,48,2,142,70,76,79,26,0,11,7,10,1
1,2022,433356509,2612,4,19,29,21,140,64,18,37,72,0,12,7,0,0
1,2023,165584767,2040,4,81,27,66,116,90,96,73,62,0,9,4,10,0
1,2022,367814306,2128,9,37,88,9,120,73,64,85,25,0,61,3,1,0
2,2022,477033549,2598,37,28,57,43,92,76,46,79,31,0,7,6,8,1
1,2022,156214700,542,2,23,2,21,110,81,64,79,5,0,31,3,11,1
1,2022,448843705,2459,20,20,68,50,120,71,57,97,1,0,13,11,2,0
2,1995,1357608774,10624,17,21,0,386,80,63,40,61,9,0,56,6,11,0
2,2022,294352144,2418,26,52,66,55,115,95,43,69,47,0,9,31,8,1
1,2014,972164968,7536,7,44,19,135,76,58,46,67,65,0,13,4,2,0
1,2017,920045682,10431,7,71,53,181,172,60,77,78,45,0,12,6,9,0
1,2016,2420461338,15722,16,231,37,1509,99,40,45,56,69,0,9,5,2,0
1,2015,1947371785,25744,4,122,94,1992,136,36,12,57,9,0,14,8,0,1
1,2019,244658767,1640,0,27,27,29,150,90,64,14,67,35,11,10,11,1
1,2023,68216992,34,0,0,0,0,92,71,41,31,79,0,10,5,2,1
5,2022,223582566,1845,16,20,8,30,95,77,72,87,17,0,7,5,4,0
3,2022,471819764,3301,30,72,64,64,102,83,58,83,21,0,10,5,3,1
1,2022,272377463,1911,0,23,71,14,145,70,34,55,43,0,16,6,0,1
1,2003,1361425037,20111,5,39,0,7341,110,50,24,86,0,0,64,4,1,0
